id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
379615,63,ShotOnPost,0.8859999847412109,0.485,0.06408520042896271,Liam Delap,h,8868,OpenPlay,2020,Head,14112,Manchester City,Leicester,2,5,2020-09-27 15:30:00,Benjamin Mendy,Cross
589218,14,Goal,0.7680000305175781,0.3579999923706055,0.042283959686756134,Liam Delap,h,8868,OpenPlay,2024,RightFoot,26625,Ipswich,Fulham,1,1,2024-08-31 14:00:00,Leif Davis,Pass
589219,18,MissedShots,0.960999984741211,0.575999984741211,0.28768405318260193,Liam Delap,h,8868,FromCorner,2024,Head,26625,Ipswich,Fulham,1,1,2024-08-31 14:00:00,Leif Davis,Cross
589223,54,SavedShot,0.8809999847412109,0.29100000381469726,0.045447204262018204,Liam Delap,h,8868,OpenPlay,2024,RightFoot,26625,Ipswich,Fulham,1,1,2024-08-31 14:00:00,Chiedozie Ogbene,BallTouch
589224,56,BlockedShot,0.785,0.33799999237060546,0.026383714750409126,Liam Delap,h,8868,OpenPlay,2024,RightFoot,26625,Ipswich,Fulham,1,1,2024-08-31 14:00:00,Axel Tuanzebe,Pass
590753,54,ShotOnPost,0.9569999694824218,0.37099998474121093,0.5234449505805969,Liam Delap,a,8868,OpenPlay,2024,RightFoot,26633,Brighton,Ipswich,0,0,2024-09-14 14:00:00,Axel Tuanzebe,BallRecovery
592352,43,BlockedShot,0.8019999694824219,0.5870000076293945,0.035346999764442444,Liam Delap,a,8868,OpenPlay,2024,LeftFoot,26643,Southampton,Ipswich,1,1,2024-09-21 14:00:00,Jens Cajuste,BallRecovery
594549,7,Goal,0.8830000305175781,0.549000015258789,0.11763928085565567,Liam Delap,h,8868,OpenPlay,2024,LeftFoot,26659,Ipswich,Aston Villa,2,2,2024-09-29 13:00:00,Jack Clarke,Pass
594556,37,SavedShot,0.8519999694824218,0.415,0.2993304133415222,Liam Delap,h,8868,OpenPlay,2024,RightFoot,26659,Ipswich,Aston Villa,2,2,2024-09-29 13:00:00,Leif Davis,Throughball
594560,71,Goal,0.9109999847412109,0.63,0.5045092701911926,Liam Delap,h,8868,OpenPlay,2024,LeftFoot,26659,Ipswich,Aston Villa,2,2,2024-09-29 13:00:00,Omari Hutchinson,TakeOn
595485,5,Goal,0.835,0.720999984741211,0.014980333857238293,Liam Delap,a,8868,FromCorner,2024,RightFoot,26665,West Ham,Ipswich,4,1,2024-10-05 14:00:00,,Aerial
595506,64,SavedShot,0.9169999694824219,0.5259999847412109,0.3132689893245697,Liam Delap,a,8868,OpenPlay,2024,Head,26665,West Ham,Ipswich,4,1,2024-10-05 14:00:00,Wes Burns,Cross
597134,10,MissedShots,0.8519999694824218,0.29700000762939455,0.03940919041633606,Liam Delap,h,8868,OpenPlay,2024,RightFoot,26674,Ipswich,Everton,0,2,2024-10-19 14:00:00,Omari Hutchinson,BallTouch
597147,63,BlockedShot,0.8680000305175781,0.35900001525878905,0.07394658029079437,Liam Delap,h,8868,OpenPlay,2024,LeftFoot,26674,Ipswich,Everton,0,2,2024-10-19 14:00:00,Omari Hutchinson,Pass
597148,74,MissedShots,0.8059999847412109,0.46900001525878904,0.047236908227205276,Liam Delap,h,8868,OpenPlay,2024,RightFoot,26674,Ipswich,Everton,0,2,2024-10-19 14:00:00,Sammie Szmodics,Pass
598482,85,Goal,0.9209999847412109,0.53,0.4090513288974762,Liam Delap,a,8868,OpenPlay,2024,LeftFoot,26685,Brentford,Ipswich,4,3,2024-10-26 14:00:00,Leif Davis,Cross
598486,97,ShotOnPost,0.85,0.72,0.03007659874856472,Liam Delap,a,8868,OpenPlay,2024,RightFoot,26685,Brentford,Ipswich,4,3,2024-10-26 14:00:00,Conor Townsend,None
602005,42,Goal,0.9919999694824219,0.5,0.9746790528297424,Liam Delap,a,8868,OpenPlay,2024,LeftFoot,26709,Tottenham,Ipswich,1,2,2024-11-10 14:00:00,,None
603542,39,SavedShot,0.915,0.4829999923706055,0.4902198612689972,Liam Delap,h,8868,OpenPlay,2024,RightFoot,26718,Ipswich,Manchester United,1,1,2024-11-24 16:30:00,Leif Davis,Pass
603547,51,SavedShot,0.965,0.4929999923706055,0.6780549883842468,Liam Delap,h,8868,OpenPlay,2024,RightFoot,26718,Ipswich,Manchester United,1,1,2024-11-24 16:30:00,,None
603550,70,MissedShots,0.749000015258789,0.3890000152587891,0.03638719767332077,Liam Delap,h,8868,OpenPlay,2024,RightFoot,26718,Ipswich,Manchester United,1,1,2024-11-24 16:30:00,Omari Hutchinson,BallTouch
604121,3,BlockedShot,0.8109999847412109,0.51,0.07490654289722443,Liam Delap,a,8868,OpenPlay,2024,RightFoot,26728,Nottingham Forest,Ipswich,1,0,2024-11-30 15:00:00,Leif Davis,TakeOn
605147,6,BlockedShot,0.9640000152587891,0.40700000762939453,0.0319286547601223,Liam Delap,h,8868,FromCorner,2024,Head,26737,Ipswich,Crystal Palace,0,1,2024-12-03 19:30:00,Leif Davis,CornerAwarded
605159,46,SavedShot,0.9269999694824219,0.415,0.04189527779817581,Liam Delap,h,8868,OpenPlay,2024,Head,26737,Ipswich,Crystal Palace,0,1,2024-12-03 19:30:00,Wes Burns,Aerial
605162,58,BlockedShot,0.7680000305175781,0.69,0.017779240384697914,Liam Delap,h,8868,OpenPlay,2024,RightFoot,26737,Ipswich,Crystal Palace,0,1,2024-12-03 19:30:00,,Tackle
605166,70,MissedShots,0.9080000305175782,0.5459999847412109,0.2381727546453476,Liam Delap,h,8868,OpenPlay,2024,Head,26737,Ipswich,Crystal Palace,0,1,2024-12-03 19:30:00,Leif Davis,Cross
606266,2,MissedShots,0.9569999694824218,0.515,0.5778103470802307,Liam Delap,h,8868,FromCorner,2024,RightFoot,26750,Ipswich,Bournemouth,1,2,2024-12-08 14:00:00,Jack Taylor,HeadPass
606289,63,BlockedShot,0.8059999847412109,0.5129999923706055,0.06687715649604797,Liam Delap,h,8868,OpenPlay,2024,RightFoot,26750,Ipswich,Bournemouth,1,2,2024-12-08 14:00:00,Sam Morsy,Pass
606975,58,MissedShots,0.9340000152587891,0.5320000076293945,0.5721194744110107,Liam Delap,a,8868,OpenPlay,2024,LeftFoot,26758,Wolverhampton Wanderers,Ipswich,1,2,2024-12-14 15:00:00,Wes Burns,Pass
609670,11,Goal,0.885,0.5,0.7611688375473022,Liam Delap,h,8868,Penalty,2024,RightFoot,26787,Ipswich,Chelsea,2,0,2024-12-30 19:45:00,,Standard
609671,12,SavedShot,0.915,0.29700000762939455,0.06619485467672348,Liam Delap,h,8868,OpenPlay,2024,RightFoot,26787,Ipswich,Chelsea,2,0,2024-12-30 19:45:00,Omari Hutchinson,BlockedPass
609678,37,SavedShot,0.9230000305175782,0.30700000762939456,0.11636921018362045,Liam Delap,h,8868,OpenPlay,2024,RightFoot,26787,Ipswich,Chelsea,2,0,2024-12-30 19:45:00,Nathan Broadhead,Chipped
609688,62,MissedShots,0.8030000305175782,0.30100000381469727,0.01685086265206337,Liam Delap,h,8868,OpenPlay,2024,RightFoot,26787,Ipswich,Chelsea,2,0,2024-12-30 19:45:00,Christian Walton,Aerial
609692,73,SavedShot,0.9330000305175781,0.30700000762939456,0.12181250005960464,Liam Delap,h,8868,OpenPlay,2024,RightFoot,26787,Ipswich,Chelsea,2,0,2024-12-30 19:45:00,,Dispossessed
610207,70,Goal,0.885,0.5,0.7611688375473022,Liam Delap,a,8868,Penalty,2024,RightFoot,26796,Fulham,Ipswich,2,2,2025-01-05 14:00:00,,Standard
611863,27,SavedShot,0.7680000305175781,0.710999984741211,0.019978664815425873,Liam Delap,h,8868,OpenPlay,2024,RightFoot,26805,Ipswich,Brighton,0,2,2025-01-16 19:30:00,Nathan Broadhead,Pass
612836,7,BlockedShot,0.91,0.34200000762939453,0.10673936456441879,Liam Delap,h,8868,OpenPlay,2024,LeftFoot,26816,Ipswich,Manchester City,0,6,2025-01-19 16:30:00,Jack Clarke,Pass
